# ,REQUEST ,PROGRESS ,UPDATES/COMMENTS 
,,,Completed corrections to identified spelling/grammar errors on 06/30/2025. 
28.  ,"@Moeller, Matthew C.: Found bug with item labels displaying default SharePoint value ",Completed ,"Received change order via comments document from June 12th from @Conway, Christina (HIN). "
,,,Completed corrections to identified spelling/grammar errors on 06/30/2025. 
29.  ,"@Moeller, Matthew C.: Prior to final form submissions, add a new larger/prompt to “Review Prior To Submission” ability to all screens ",Completed ,"Received change order via comments document from June 12th from @Conway, Christina (HIN). "
,,,Added new feature & GUI on 06/30/2025. 
,,,Troubleshooting new features completed 07/01/2025 
,,,"Updates completed 07/02/2025, new version published "
30.  ,"@Moeller, Matthew C.: Remove instances of redundant “Select the most appropriate” instruction blocks ",Completed ,"Received change order via comments document from June 12th from @Conway, Christina (HIN). "
,,,Removed all instances from entire app on 06/28/2025. 
,,,"Talked to @Moeller, Matthew C. on 07/01/2025 about change order, decided to re-add two specific occasions that are relevant to specific popups "
,,,Completed re-adding the GUI features back into app on 07/02/2025.  
,,,Troubleshooting re-added feature on 07/03/2025 
,,,"Updates completed 07/02/2025, new version published "
31.  ,"@Coder, Kyle J.: Final draft of completed presented to primary key-stakeholder (@Conway, Christina (HIN)) for pre-approval ",Completed ,"Met with @Conway, Christina (HIN) on 07/01/2025 for review of change orders & to give extensive published state demonstration. "
,,,"Pre-approval received, instructed to send a voting-enabled email to the project’s sub-committee to solicit “Approve/Reject” consensus for publishing to entire Hines employee staff. "
,,,"Email sent to sub-committee on 07/02/2025, with assigned voting deadline of 07/07/2025. "
,,,Awaiting deadline fulfillment to count total sub-committee approval or comments. 
32.  ,@Everyone: Voting-enabled email sent to “Award Committee” to move project forward ,Completed ,"Per @Conway, Christina (HIN) instructions, created voting enabled email to APPROVE/REJECT the application’s current state and consideration to move the project forward toward publication. "
,,,"First email sent voting email sent to 20 members of “Award Committee” on 07/02/2025 @ 11:53 AM, with voting deadline of July 7, 2025. "
,,,"By deadline, received 12 responses (9 approvals, 3 non-voting comments/bugs, 0 rejections), with 8 members not responding at all. "
,,,"Per @Conway, Christina (HIN) instructions, created second voting email to the 8 committee members who did not respond. "
,,,"Sent second email on 07/09/2025 @ 9:51 AM, with deadline of July 14, 2025. "
,,,"By second deadline, received an updated total of 17 responses (16 approvals, 1 non-voting comments/bug, 0 rejections), with 3 members not responding at all. "
,,,"On 07/16/2025, updated this project tracking sheet with the various comments/bugs/inquiries/recommendations received with the votes of the Award Committee "
33.  ,"@Franche, Chad C. (HIN): Bug identified ",Resolved ,"Received application bug comments on 07/07/2025 @ 10:58 AM: “When you click on ‘more info’ for I*CARE Values nothing pops up or is linked, like for the other options.” "
,,,"Per Christina Conway, the “Starfish Award” is not discontinued, and the previous text referring to an “I*CARE Award” are renamed to be specific to “Starfish Award” instead. Updates throughout corrected 07/16/2025. "
,,,Completed 07/18/2025: URL updated to open to “Starfish Award” PDF file on Whole Health SharePoint site. 
34.  ,"@Franche, Chad C. (HIN): Recommendation provided ",Postponed ,"Received recommendation on 07/07/2025 @ 10:58 AM:  “After clicking on ‘more info’ for the Nursing Daisy/Bee and Safety Story, those pages still have submission links for the original process.” Consider altering hyperlink’s destination "
,,,Postpone changing direct links during soft-rollout phase for redundancy sake. Consider altering link URL to new informational after new process is live and being actively used. 
,,,Postponed to v1.5 
35.  ,"@Lee, David Kyungsun: Inquiry about app’s “Location” text block & intent ",Resolved ,Received inquiry comments on 07/07/2025 @ 10:58 AM: “Lack of clarity regarding the in-app instructions around the ‘Location’ question’s intent ([paraphrasing] the specific room number vs generic description)” 
,,,Completed by responding via email with clarifying info on 07/09/2025 @ 2:17 PM 
36.  ,"@Lee, David Kyungsun: Recommendation provided about “Location” text blocks ",Resolved ,Received recommendation on 07/07/2025 @ 10:58 AM: Consider recommendation to alter that “Location” question’s clarifying language to make clearer to front-line staff. 
,,,Resolved 07/22/2025: Added tooltip and expanded text prompt for ease of use 
37.  ,"@Majors, Tuesday A.: Recommendation provided about app demo/walkthrough for committee ",Postponed ,"Received recommendation on 07/02/2025 @ 11:17 AM: “it may be beneficial to have a meeting to walk through the app, from beginning to end with all the updates” "
,,,"Postponed as of 07/16/2025, pending approval/process of @Conway, Christina (HIN) "
38.  ,"@Moeller, Matthew C. (via proxy  @Lutgen, Debralee P.): Bug identified ",Completed ,Received application bug comments on 07/09/2025 @ 3:34 PM:: on 07/02/2025 @ 11:17 AM: “One issue I found is that?there is no example of a Hines Hero (Media Service) nomination attached to the link. It gives a 404 error.” 
,,,"Found link opens to .pdf flyer from 2022 on the WholeHealth SharePoint site, which itself contains a broken link. Downloaded old flyer and updated hyperlink to work properly. Uploaded new version back to WholeHealth SharePointsite publicly, then updated application’s hyperlinks to open new version of .pdf file. Testing completed 07/25/2025. "
,,,Completed 07/28/2025 
39.  ,"@Moeller, Matthew C. (via proxy @Howerton, Jeffry M.): Inquiry about overall process and routing ",In progress ,Received application multiple inquiries on 07/09/2025 @ 12:21 PM: 
,,,How does a submission gets routed to its respective department? 
,,,Is there a way to route the submission to the org box or POC of the responsible department? 
,,,Hines Hero nominations don’t need a committee review & unclear who is receiving the submissions. 
,,,Is overall Awards Committee a way to reduce number of names involved to eliminate confusion on what goes where? 
,,,Is there a timeframe of when a department would get the name of the nominee after a submission? 
,,,In progress as of 07/16/2025 
40.  ,"@Persky, Irena: Bug identified ",Resolved ,"Received application bug comments on 07/02/2025 @ 2:16 PM: “For the Hines Hero’s click, is another form supposed to open?” Link currently goes to SharePoint document, which itself containing a dead link "
,,,Resolved via Item #38 
41.  ,"@Persky, Irena: Recommendation provided about WOW! Award nomenclature changes ",Completed ,Received recommendation request on 07/02/2025 @ 2:21 PM: Change instances of language showing ‘WOW! Award’ to more appropriately say ‘WOW! Recognition’ throughout app interface. 
,,,Updated all instances to proper nomenclature 07/25/2025. 
,,,Completed 07/28/2025 
42.  ,"@Persky, Irena: Inquiry about “Help Me Choose” routing & triage process ",In progress ,"Received recommendation request on 07/02/2025 @ 2:23 PM: “For the ‘Help Me Choose’ option, the app user entering information just answers the questions and the committee chooses the award? The award list option does not come up if the person entering is not sure what to pick, correct?” "
,,,In progress as of 07/16/2025 
43.  ,"@Nakashima, Julia G.: Inquiry about overall ‘Award Committee’ workgroup ",Resolved ,"Received recommendation request on 07/07/2025 @ 4:57 PM: “I am wondering still what is the process for when a submission is submitted, who reviews these submissions? Did the workgroup figure out those details? How is it determined if someone wins or not? Is there a scoring system on the backend? How is an award determined especially if it is through the “no, help me choose option” option? Is there a triage team or through an algorithm? Was this ever determined? How is this fairly determined without bias?” "
,,,Completed by responding via email with clarifying information via email on 07/07/2025 @ 1:08 PM 
44.  ,"@Nakashima, Julia G.: Recommendation provided about “Click Here for More Information” pop-up language ",In progress ,Received recommendation request on 07/07/2025 @ 4:57 PM: “…it is nice but I am wondering if it should explain the process for if you need help choosing verses picking on your own. May be it should explain more how the app picks the award. Why would I let the app choose verses picking it myself? Maybe that should be explained because it kind of vague.” 
,,,In progress as of 07/16/2025 
45.  ,"@Nakashima, Julia G.: Inquiry about “Chat Bot” and automation component ",Resolved ,Received recommendation request on 07/07/2025 @ 4:57 PM: “What is the “chat bot” in teams? How does that work? What does that mean? How will I know how to access it? Will it just chat me?” 
,,,Completed by responding via email with clarifying information via email on 07/07/2025 @ 1:08 PM 
46.  ,"@Nakashima, Julia G.: Bug identified ",Resolved ,Received application bug comments on 07/07/2025 @ 4:57 PM: “The Hines Hero explanation/pdf is sort of outdated 
,,,?Hines Hero Info.pdf as in Hines Happening is not always hosted by Mr. Doelling and the click here link leads to an error.” 
,,,Resolved via item #38 
47.  ,"@Nakashima, Julia G.: Recommendation provided about “Which of these HRO Principles…” pop-up ",In progress ,"Received application bug comments on 07/07/2025 @ 4:57 PM: “Is there a way to add a link to [the HRO Principles] page, or when these terms come up to an explanation for these because it unlikely that everyone knows what each of these mean and it is inefficient to go back and look through the app for the link to the HRO page.” "
,,,In progress as of 07/16/2025 
48.  ,"@Nakashima, Julia G.: Recommendation provided about the “Help Me Coose” award screen, to add preparatory options/pop-ups to explain differences between ICARE vs Great Catch/HRO to app-user ",In progress ,"Received application bug comments on 07/10/2025 @ 11:55 AM: Under the in-app of “Help Me Choose” generic award submission, consider preparatory option question to briefly explain differences between ICARE or Great Catch/HRO/Safety etc. Perhaps something like an explanation of what a Great Catch vs ICARE is before the app user is prompted to fill out unnecessary questions that end up being irrelevant later. Similarly on the Great Catch/Safety Story/HRO HeRO screen, provide brief preparatory question to help app user identify the difference between the three situations. "
,,,In progress as of 07/16/2025 
49.  ,"@Nakashima, Julia G.: Recommendation provided to alter the screening of HRO questions ",In progress ,"Received application bug comments on 07/17/2025 @ 4:26 PM: “suggest that the HRO questions be added to the “Help Pick me Choose” option. Because these questions are necessary for the triage team to be able to decide if the submission is a great catch, safety story or a HRO HeRO award. I put the questions that I think should be added below. It is for the context, actions, results, HRO principles and whether this event was clinical or non-clinical.” "
50.  ,"@Nakashima, Julia G.: Recommendation to add the definitions/links to the “5 HRO principles” question ",In progress ,"Received application bug comments on 07/17/2025 @ 4:26 PM: “Also, I think the HRO section with the 5 principles should have the explanation right next to it. It may be helpful to provide the definition for the user.  I included the explanations below. For example, Sensitivity to operations: focus on frontline staff & care processes, etc.” "
51.  ,"@Nakashima, Julia G.: Bug identified ",Completed ,Received application bug comments on 07/18/2025 @ 12:21 PM: “Also I noticed that nurse practitioner is spelled incorrectly.” 
,,,Completed 07/28/2025: Spelling corrected in all instances; 
52.  ,"@Nakashima, Julia G.: Bug identified ",Resolved ,Received application bug comments on 07/18/2025 @ 12:21 PM: “the link to the Hines Hero Example does not work” on the “Hines Hero” screen.” 
,,,Resolved via item #38 
53.  ,"@Nakashima, Julia G.: Inquiry about Triage Team process & structure ",In progress ,"Received application bug comments on 07/2/2025 @ 4:49 PM: “Who will be triaging the “No, help me choose option” submissions? Will it be the whole team or one member of the triage team. Who will be triaging the specific awards that are selected, like if a submitter makes a submission for a Daisy award would it just be Teneshia and Kimberley to do the initial triage or the whole team? How are we going to define “above and beyond” since this can be subjective.” "
54.  ,"@Nakashima, Julia G.: Recommendation for “Triage Team Checklist” draft ",In progress ,Received application bug comments on 07/22/2025 @ 10:50 AM: Provided link to a “
,,, Draft Award Triage Team Checklist.docx” document 
